#,nl,bash
1,"find regular files under the current directory, whose name ends in .mbox, piping the output to the GNU Parallel command that will rename each file to not have a file extension.",find . -type f -wholename \*.mbox -print0 | parallel -0 mv {} {.}
2,Delete empty files and print their names,find . -empty -delete -print
3,"Split ""$1"" into files of at most ""$2"" or default 10000 using a numeric suffix of length 6 and suffix ""${tdir}/x""","split -l ${2:-10000} -d -a 6 ""$1"" ""${tdir}/x"""
4,install a vpn,"CLARIFY: Which VPN client - OpenVPN, WireGuard, NetworkManager-openvpn, a commercial client like Mullvad or NordVPN, or set up your own?"
5,"Print a single line of numbers from ""001"" to ""010""","yes | head -n 10 | awk '{printf( ""%03d "", NR )}'    ##for 01..10"
6,List all IPV4 addresses found in all files under /etc directory,find /etc -type f -exec cat '{}' \; | tr -c '.[:digit:]' '\n'  | grep '^[^.][^.]*\.[^.][^.]*\.[^.][^.]*\.[^.][^.]*$'
7,whats my ip address,ip -4 addr show | grep inet
8,"Make directories ""project/{lib/ext,bin,src,doc/{html,info,pdf},demo/stat/a}"" as needed and do not cause an error if it exists","mkdir -p project/{lib/ext,bin,src,doc/{html,info,pdf},demo/stat/a}"
9,"set alias ""iTMSTransporter"" for command '`xcode-select --print-path`/../Applications/Application\ Loader.app/Contents/MacOS/itms/bin/iTMSTransporter'",alias iTMSTransporter='`xcode-select --print-path`/../Applications/Application\ Loader.app/Contents/MacOS/itms/bin/iTMSTransporter'
10,"Save ""1 4 6 9 11 17 22"" as a bash array ""arr""","read -a arr <<< ""1 4 6 9 11 17 22"""
11,List all hidden files under present working directory and redirect the list to all-hidden-files.txt,"find `pwd` -iname "".*"" -type f > all-hidden-files.txt"
12,Overwrite a file 'my-existing-file' with random data to hide its content,shred my-existing-file
13,Disables shell option 'dotglob'.,shopt -u dotglob
14,Prints random line from file $FILE.,sort --random-sort $FILE | head -n 1
15,Print the list of all directories in the /myfiles directory tree,find /myfiles -type d
16,Locate all *.csv regular files under the current directory tree,"find . -type f -name ""*.csv"""
17,"Move all files in the current directory tree that match ""some_pattern"" to ""target_location""",find . -name some_pattern -print0 | xargs -0 -I % mv % target_location
18,"Write ""[some repository]"" to standard output and append to ""/etc/apt/sources.list"" as root","echo ""[some repository]"" | sudo tee -a /etc/apt/sources.list"
19,"Search the system for files whose names begin with letters 'a', 'b', or 'c'",find  / -name '[a-c]*'
20,Get virtual private memory use of process,top -l 1 -s 0 -stats mem -pid PID
21,restart the web server,sudo systemctl restart nginx
22,"Recursively change the owner to ""user"" and group to ""www-data"" of ""yourprojectfoldername""",chown -R user:www-data yourprojectfoldername
23,List all leaf directories of the current directory tree,"find . -type d | sort | awk '$0 !~ last ""/"" {print last} {last=$0} END {print last}'"
24,show all journal logs at error level or above,sudo journalctl -p 3 -xb
25,Search directories /path/to/directory/folder{1..50} for .txt files,find /path/to/directory/folder{1..50} -name '*.txt'  2>/dev/null
26,find all the perl files in the current folder and search for a pattern,find . -name '*.pl' | xargs grep -L '^use strict'
27,show logs for a container named myapp,docker logs myapp
28,Find files in the current directory tree whose content was changed within the last 60 minutes,find . -mmin -60
29,"Move all files and directories in the current directory to ""/tmp/blah/""",mv * /tmp/blah/
30,update the initramfs,sudo update-initramfs -u
31,Verbosely compresses all files on third and fourth depth level keeping original files in place.,bzip2 -kv */*/*/*
32,Set timestamp of old_file.dat to specified timestamp.,touch -t 200510071138 old_file.dat
33,Find files in the current directory tree whose size is greater than 24000 bytes,find . -size +24000c
34,Change permissions to 644 for all regular files under the /path/to/dir/ tree unless these permissions are already set,find /path/to/dir ! -perm 0644 -exec chmod 0644 {} \;
35,Gets MAC address of eth0 network interface.,ifconfig | grep -i hwaddr | cut -d ' ' -f9
36,clean yarn cache,CLARIFY: 'yarn cache clean' clears all - or 'yarn cache clean PACKAGE' for one. Which?
37,"List all files under the current working directory with name "".htaccess""",find `pwd` -name .htaccess
38,rebuild the container,"CLARIFY: For docker-compose ('docker compose build SERVICE' then up), or a standalone Dockerfile (which path)? Which container and where's the Dockerfile?"
39,"Find all files/directories in entire file system that have  ""write"" bit set for either the owner, the group, or others","find / -perm /u+w,g+w,o+w"
40,Calculate the sum of all the numbers from 1 to 10,seq 10 | tr '[\n]' '+' | sed -e 's/+/ + /g' -e's/ + $/\n/' | xargs expr
41,"search for the directory ""uploads"" in current folder and change the permission of the folder and all the files to 755",find . -type d -name 'uploads' -print0 | xargs -0 chmod -R 755
42,"Copy ""src/prog.js"" and ""images/icon.jpg"" to ""/tmp/package/"" keeping relative path names",rsync -Rv src/prog.js images/icon.jpg /tmp/package/
43,autoremove unused packages,sudo apt autoremove -y
44,trim ssd,"CLARIFY: Run fstrim now on all mounts ('sudo fstrim -av'), enable the weekly fstrim timer ('systemctl enable fstrim.timer'), or just one mount?"
45,recursively change user of the direct /home/test/ and all files into it to user test,sudo chown -R test /home/test
46,Print how many files are inside each directory under the current one,find */ | cut -d/ -f1 | uniq -c
47,"search for the directory ""ora10"" in the entire file system","find / -type d -name ""ora10"""
48,find all gzip files in a folder,"find /home/foo -name ""*.gz"""
49,"Save a unique list of the currently logged in usernames to variable ""line""",line=$(who | cut -d' ' -f1 | sort -u)
50,find directories  that have been modified in the last seven days,find . -mtime -7 -type d
51,Print all non-hidden files in the current directory and its subdirectories,find . -not -path '*/\.*'
52,"Change to parent directory and resolve any symlinks in the resulting path, making the physical path the current one.",cd -P ..
53,what is my path variable,echo $PATH
54,Save long listing of all files listed in file 'filenames.txt' to 'listing' variable,listing=$(ls -l $(cat filenames.txt))
55,display list of all the hidden files in the home folder,"find $HOME -name "".*"" -ls"
56,"find all the files in the entire file system excluding the folder proc, which do not belong to any user or any group",find / -path /proc -prune -o -nouser -o -nogroup
57,"generates a list of all files beneath the current directory whose filename DOES NOT end in .html, so it matches files like *.txt, *.jpg, and so on.","find . -type f -not -name ""*.html"""
58,display all directories in a folder,find /etc -type d -print
59,open this folder in the file manager,xdg-open ~/Documents
60,show the command line that started process 1234,cat /proc/1234/cmdline | tr '\0' ' '
61,Find the directory with least modification time under current directory,find -type d -printf '%T+ %p\n' | sort | head -1
62,make a hard link from this document to a second name,ln ~/Documents/notes.txt ~/Documents/notes_link.txt
63,Counts the number of lines in each file in a git repository.,wc -l $(git ls-files)
