#,nl,bash
1,delete my big files,"CLARIFY: Which directory should I look in (home folder, Downloads, /var/log), and what size counts as big (over 100MB, 500MB, 1GB)?"
2,remove the old stuff,"CLARIFY: Which directory has the old stuff, and how old should a file be to count as old (7 days, 30 days, 90 days)?"
3,clean up the logs,"CLARIFY: Which logs do you mean - system logs in /var/log, application logs in your home folder, or a specific service's log files?"
4,back up my data,"CLARIFY: Which folder should I back up (Documents, the whole home folder, a project directory), and where should the backup go (external drive, /backup, cloud)?"
5,move my work files,"CLARIFY: Which work files (a specific folder, all .docx files, files modified this week) and where should they be moved to?"
6,get rid of the junk,"CLARIFY: What counts as junk - temp files in /tmp, browser cache, old downloads, or something specific you can point me to?"
7,archive the old projects,"CLARIFY: Where do the projects live (~/projects, ~/work), and what makes a project 'old' (last modified date, name pattern, or a list I should review)?"
8,free up space on my computer,"CLARIFY: Which disk is full (run 'df -h' to see), and do you want me to delete cache, old downloads, or large files specifically?"
9,delete the duplicates,"CLARIFY: Which directory should I scan for duplicates, and how do you want to match them (same name, same content hash, same size)?"
10,clean my downloads,"CLARIFY: Do you want to delete everything in ~/Downloads, only files older than a certain date, or only specific file types like .zip or .dmg?"
11,delete the cache,"CLARIFY: Which cache - browser cache, ~/.cache, apt package cache, or an application-specific cache directory?"
12,clear out temp,"CLARIFY: Do you mean /tmp, /var/tmp, or a project's temp folder? And should I delete everything or only files older than a certain age?"
13,remove my old backups,"CLARIFY: Where are the backups stored, and how old should a backup be before deletion (older than 30 days, older than 90 days)?"
14,compress these files,"CLARIFY: Which files or folder do you want to compress, and what format (zip, tar.gz, tar.xz)?"
15,unzip the file,"CLARIFY: Which archive file do you want to extract, and where should it be unpacked (current directory, Desktop, a specific folder)?"
16,find the file,"CLARIFY: What's the file called, or what's in it? And which directory should I search (home folder, the whole system, a specific project)?"
17,rename these,"CLARIFY: Which files do you want to rename, and what's the renaming pattern (add a prefix, change extension, sequential numbers)?"
18,copy these somewhere safe,"CLARIFY: Which files should I copy, and where is 'somewhere safe' - an external drive, a backup folder, or a specific path?"
19,organize my desktop,"CLARIFY: How would you like the Desktop organized - by file type (Documents, Images), by date, or moved into a single folder?"
20,throw away the old photos,"CLARIFY: Which photos folder, and how old is 'old' (taken before a specific year, modified more than 2 years ago)?"
21,i need to delete some files,"CLARIFY: Which directory, and which files specifically (by name pattern, by age, by size)? I want to be careful not to delete the wrong ones."
22,make a backup,"CLARIFY: Backup of what (a specific folder, the whole home directory, a database), and where should the backup be saved?"
23,move stuff to the external drive,"CLARIFY: Which files or folders should I move, and what's the name or mount point of the external drive (check 'lsblk')?"
24,tidy up my documents folder,"CLARIFY: What kind of tidying - sort by type into subfolders, delete files older than a year, or move old items into an archive folder?"
25,delete all the temp files,"CLARIFY: Do you mean files in /tmp, files with .tmp extension in your home folder, or editor temp files like .swp?"
26,remove the empty folders,"CLARIFY: Which parent directory should I scan for empty folders (home directory, Documents, somewhere else)?"
27,delete old emails,"CLARIFY: Are the emails stored locally (which mail client, which folder), or are they on a server? I can't easily reach an online inbox from the shell."
28,send these to the trash,CLARIFY: Which files or folders do you want to move to the trash? Please give me the names or paths.
29,empty the recycle bin,CLARIFY: Do you want to empty the trash for your user account (~/.local/share/Trash) or system-wide?
30,save this for later,"CLARIFY: What is 'this' - the current terminal output, a file you're looking at, or the last command's result? And where would you like it saved?"
31,merge these folders,"CLARIFY: Which two (or more) folders should be merged, and if files have the same name in both, should I overwrite, skip, or rename?"
32,split this file up,"CLARIFY: Which file do you want to split, and how - by size (every 100MB), by line count, or at specific markers?"
33,back up before i mess things up,"CLARIFY: What are you about to change - a configuration file, a project folder, or the whole system? Tell me what to back up and I'll make a copy first."
34,save the database,"CLARIFY: Which database (MySQL, PostgreSQL, SQLite, MongoDB), which database name, and where should the dump be written?"
35,delete the screenshots,"CLARIFY: Where are the screenshots stored (~/Pictures/Screenshots, ~/Desktop), and do you want all of them or only ones older than a certain date?"
36,throw away the videos,"CLARIFY: Which folder has the videos (~/Videos, ~/Downloads), and do you want all video files or only ones matching a specific filter?"
37,delete music i dont listen to,"CLARIFY: I can't tell what you listen to from the file system. Should I delete files older than a date, files smaller than a size, or from a specific subfolder?"
38,remove some pdfs,"CLARIFY: Which directory has the PDFs, and which ones - all of them, ones older than a date, or matching a name pattern?"
39,delete the old downloads,"CLARIFY: How old should a file in ~/Downloads be before deletion (older than 7 days, 30 days, 90 days)?"
40,shrink my folder,"CLARIFY: Which folder, and how - compress everything into a zip, delete the largest files, or remove duplicates?"
41,move these to where they belong,"CLARIFY: Which files, and where do they belong? I don't have context about your organization scheme - please give me a source and destination."
42,rename my files to be cleaner,"CLARIFY: Which files, and what does cleaner mean - remove spaces, lowercase everything, strip special characters, or follow a specific naming pattern?"
43,compress everything,"CLARIFY: Compress which directory or files, and into what archive format (zip, tar.gz, 7z)?"
44,extract all the archives,"CLARIFY: Which folder contains the archives, and where should each one be extracted - in place, or into a single destination?"
45,clean up node_modules,"CLARIFY: Do you want to delete every node_modules folder under a parent directory (which one - ~/projects, ~/code)?"
46,fix my mess,"CLARIFY: What mess are you looking at - a folder that needs organizing, a broken installation, or something else? Please point me at a specific path or symptom."
47,back up the important stuff,"CLARIFY: What's important to you - Documents only, the whole home folder, photos, work projects? And where should the backup live?"
48,delete the corrupted files,"CLARIFY: Which folder, and how should I identify corruption - zero-byte files, files that fail a checksum, files of a certain type that won't open?"
49,remove old versions,"CLARIFY: Old versions of what - files with timestamps in their name, files in a backups folder, or a specific application's old releases?"
50,i have too many files,"CLARIFY: In which folder? I can show you the biggest files, the most common file types, or files you haven't opened in a while - tell me which to target."
51,make the folder smaller,"CLARIFY: Which folder, and how - delete the largest files, compress its contents, or remove files older than a date?"
52,save what i was working on,CLARIFY: I don't know what you were working on. Tell me the folder or file you'd like saved and where to put the backup.
53,delete some of my pictures,"CLARIFY: Which pictures folder, and on what basis - by date, by size, by filename pattern, or specific files you'll list?"
54,i want to start fresh,"CLARIFY: Start fresh with what - a single folder, a project's build output, configuration files? Resetting the whole system would erase data, so please be specific."
55,remove the unused stuff,"CLARIFY: Unused files in which directory, and how do I detect 'unused' - access time older than 90 days, never opened, or something else?"
56,wipe the folder,"CLARIFY: Which folder do you want emptied, and should the folder itself be deleted or kept (just its contents removed)?"
57,burn this to dvd,"CLARIFY: Which file or ISO image, and which drive (run 'wodim --devices' to see available burners)?"
58,save the report,"CLARIFY: Which report (file path), and where should it be saved? If it's already open in an editor, you need to save it from there."
59,backup my emails,"CLARIFY: Where are the emails stored - Thunderbird profile, Apple Mail, a Maildir folder, or an IMAP server? The approach differs for each."
60,archive the project,"CLARIFY: Which project folder, and what archive format (tar.gz, zip), and where should the archive be saved?"
61,remove the trash files,"CLARIFY: Do you mean files already in the trash (~/.local/share/Trash), or files you consider junk that need to be deleted? If the latter, which ones?"
62,encrypt my files,"CLARIFY: Which file or folder, and with what method (gpg with a passphrase, age, or a full-disk solution)?"
63,make a copy of this,"CLARIFY: A copy of what (file or folder path), and where should the copy be placed?"
64,delete duplicates from photos,"CLARIFY: How should I identify duplicates - same filename, same content hash, or visually similar? Visual similarity needs special tools."
65,clean my desktop,"CLARIFY: Clean how - move everything into a folder, sort by type, delete files older than a date, or specific items you'll point out?"
66,wipe the drive,"CLARIFY: Which drive (run 'lsblk' to list), and do you want a quick wipe (mkfs) or a secure wipe (overwrite with random data)? This will destroy all data on it."
67,format the usb,"CLARIFY: What's the USB device path (lsblk will show it - looks like /dev/sdb), and which filesystem (FAT32, exFAT, ext4, NTFS)?"
68,make this folder shared,"CLARIFY: Shared with whom - other local users (group permissions), the network (Samba/NFS), or a specific user?"
69,set up auto delete,"CLARIFY: Auto-delete what, where, and after how long? For example: files in /tmp older than 7 days, deleted nightly via cron?"
70,back up daily,"CLARIFY: Back up which folder, to where, and at what time of day? I'll set up a cron job once those are clear."
71,delete the old session files,"CLARIFY: Which application's session files - browser sessions, tmux/screen sessions, or a specific app's data folder?"
72,remove the broken symlinks,"CLARIFY: Which directory should I scan for broken symlinks (home folder, /etc, a project directory)?"
73,clean up the recycling,"CLARIFY: Empty your user trash (~/.local/share/Trash), or also clear other users' trash? Usually only the current user's is meant."
74,delete what i dont need,"CLARIFY: I can't decide what you don't need. Tell me a directory and a rule (older than 90 days, larger than 500MB, matching *.tmp) and I'll act on it."
75,clean out the printer queue,"CLARIFY: Cancel all current print jobs, or only a specific printer's queue? Run 'lpstat -o' to see active jobs first."
76,move my pictures to one place,"CLARIFY: Pictures are scattered where (Desktop, Downloads, Documents)? And what's the destination folder where they should all end up?"
77,delete duplicates in downloads,"CLARIFY: How should duplicates be matched - identical content (hash), same filename ignoring extension, or files with names ending in (1), (2) suffixes?"
78,save my work,"CLARIFY: Which folder is your work in, and where would you like a backup copy? I can compress it into a dated archive if helpful."
