#,nl,bash
1,show total CPU usage per user from ps output,"ps aux | awk 'NR>1 {cpu[$1]+=$3} END {for (u in cpu) print cpu[u], u}' | sort -rn | head -10"
2,show total memory usage in MB per user,"ps aux | awk 'NR>1 {mem[$1]+=$4} END {for (u in mem) printf ""%.1f MB  %s\n"", mem[u]*16, u}' | sort -rn"
3,count how many times each HTTP status code appears in the nginx access log,awk '{print $9}' /var/log/nginx/access.log | sort | uniq -c | sort -rn
4,show the top 10 slowest nginx requests in milliseconds,"awk '{print $NF, $7}' /var/log/nginx/access.log | sort -rn | head -10"
5,calculate the average response time from nginx logs,"awk '{sum+=$NF; n++} END {printf ""avg: %.3f ms\n"", sum/n}' /var/log/nginx/access.log"
6,print lines 100 to 200 of a file,awk 'NR>=100 && NR<=200' file.txt
7,extract the second column from a CSV file skipping the header,"awk -F',' 'NR>1 {print $2}' data.csv"
8,sum the third column of a space-separated file,awk '{sum+=$3} END {print sum}' data.txt
9,print only lines where the value in column 4 is greater than 1000,awk '$4 > 1000' data.txt
10,remove blank lines and comment lines from a config file,awk '!/^\s*(#|$)/' /etc/nginx/nginx.conf
11,convert a space-separated file to CSV,"awk 'BEGIN{OFS="",""} {$1=$1; print}' data.txt"
12,show unique values in the first column of a file,awk '!seen[$1]++' data.txt | awk '{print $1}'
13,print lines that appear more than once based on the first field,"awk '{count[$1]++} END {for (k in count) if (count[k]>1) print k, count[k]}' data.txt"
14,show listening ports from ss output as a sorted list,ss -tlnp | awk 'NR>1 {print $4}' | awk -F: '{print $NF}' | sort -n | uniq
15,extract all IP addresses from a log file,"grep -Eo '([0-9]{1,3}\.){3}[0-9]{1,3}' /var/log/syslog | sort | uniq -c | sort -rn"
16,remove trailing whitespace from all lines in a file in-place,sed -i 's/[[:space:]]*$//' file.txt
17,delete all blank lines from a file in-place,sed -i '/^[[:space:]]*$/d' file.txt
18,remove all comment lines starting with # from a file,sed -i '/^[[:space:]]*#/d' config.txt
19,replace the second occurrence of 'foo' on each line with 'bar',sed 's/foo/bar/2' file.txt
20,print only lines between START and END markers inclusive,"sed -n '/^START/,/^END/p' file.txt"
21,delete lines between START and END markers,"sed '/^START/,/^END/d' file.txt"
22,replace all http URLs with https in-place with a backup,sed -i.bak 's|http://|https://|g' config.txt
23,insert a line 'set -euo pipefail' after the shebang line in a shell script,sed -i '1a set -euo pipefail' script.sh
24,print line numbers alongside content for lines matching 'ERROR',sed -n '/ERROR/=' file.log | paste - <(sed -n '/ERROR/p' file.log)
25,normalize multiple spaces to a single space in a file,sed -E 's/[[:space:]]+/ /g' file.txt
26,escape all forward slashes in a file for use in sed patterns,sed 's|/|\/|g' paths.txt
27,replace a line containing 'Port 22' with 'Port 2222' in sshd_config,sudo sed -i 's/^Port 22$/Port 2222/' /etc/ssh/sshd_config
28,pretty-print a JSON file,jq '.' data.json
29,extract the value of a nested key from a JSON file,jq '.database.host' config.json
30,extract the name and age fields from each element of a JSON array,"jq '.[] | {name: .name, age: .age}' users.json"
31,filter a JSON array to only elements where status is active,"jq '[.[] | select(.status == ""active"")]' users.json"
32,count the number of elements in a JSON array,jq 'length' array.json
33,get all keys from a JSON object,jq 'keys' config.json
34,extract a list of names as a plain text list from a JSON array,jq -r '.[].name' users.json
35,sort a JSON array of objects by the age field,jq 'sort_by(.age)' users.json
